"genus","family","order"
"Dactyliophora","Loranthaceae","Santalales"
"Peraxilla","Loranthaceae","Santalales"
"Ptychopetalum","Olacaceae","Santalales"
"Decaisnina","Loranthaceae","Santalales"
"Peristethium","Loranthaceae","Santalales"
"Ximeniopsis","Olacaceae","Santalales"
"Dendropemon","Loranthaceae","Santalales"
"Phragmanthera","Loranthaceae","Santalales"
"Agonandra","Opiliaceae","Santalales"
"Dendrophthoe","Loranthaceae","Santalales"
"Cansjera","Opiliaceae","Santalales"
"Desmaria","Loranthaceae","Santalales"
"Champereia","Opiliaceae","Santalales"
"Diplatia","Loranthaceae","Santalales"
"Gjellerupia","Opiliaceae","Santalales"
"Distrianthes","Loranthaceae","Santalales"
"Lepionurus","Opiliaceae","Santalales"
"Elytranthe","Loranthaceae","Santalales"
"Melientha","Opiliaceae","Santalales"
"Emelianthe","Loranthaceae","Santalales"
"Opilia","Opiliaceae","Santalales"
"Englerina","Loranthaceae","Santalales"
"Pentarhopalopilia","Opiliaceae","Santalales"
"Erianthemum","Loranthaceae","Santalales"
"Rhopalopilia","Opiliaceae","Santalales"
"Gaiadendron","Loranthaceae","Santalales"
"Urobotrya","Opiliaceae","Santalales"
"Globimetula","Loranthaceae","Santalales"
"Acanthosyris","Cervantesiaceae","Santalales"
"Helicanthes","Loranthaceae","Santalales"
"Amphorogyne","Amphorogynaceae","Santalales"
"Helixanthera","Loranthaceae","Santalales"
"Anthobolus","Opiliaceae","Santalales"
"Antidaphne","Santalaceae","Santalales"
"Arceuthobium","Viscaceae","Santalales"
"Arjona","Schoepfiaceae","Santalales"
"Buckleya","Thesiaceae","Santalales"
"Cervantesia","Cervantesiaceae","Santalales"
"Choretrum","Amphorogynaceae","Santalales"
"Cladomyza","Amphorogynaceae","Santalales"
"Colpoon","Santalaceae","Santalales"
"Comandra","Comandraceae","Santalales"
"Daenikera","Amphorogynaceae","Santalales"
"Dendromyza","Amphorogynaceae","Santalales"
"Dendrophthora","Viscaceae","Santalales"
"Dendrotrophe","Amphorogynaceae","Santalales"
"Elaphanthera","Santalaceae","Santalales"
"Eremolepis","Santalaceae","Santalales"
"Eubrachion","Santalaceae","Santalales"
"Exocarpos","Santalaceae","Santalales"
"Geocaulon","Comandraceae","Santalales"
"Ginalloa","Viscaceae","Santalales"
"Iodina","Santalaceae","Santalales"
"Ixidium","Santalaceae","Santalales"
"Jodina","Cervantesiaceae","Santalales"
"Korthalsella","Viscaceae","Santalales"
"Lepidoceras","Santalaceae","Santalales"
"Leptomeria","Amphorogynaceae","Santalales"
"Mida","Nanodeaceae","Santalales"
"Myoschilos","Santalaceae","Santalales"
"Nanodea","Nanodeaceae","Santalales"
"Nestronia","Santalaceae","Santalales"
"Notothixos","Viscaceae","Santalales"
"Okoubaka","Cervantesiaceae","Santalales"
"Omphacomeria","Santalaceae","Santalales"
"Osyridicarpos","Thesiaceae","Santalales"
"Osyris","Santalaceae","Santalales"
"Phacellaria","Amphorogynaceae","Santalales"
"Phoradendron","Viscaceae","Santalales"
"Pilgerina","Cervantesiaceae","Santalales"
"Pyrularia","Cervantesiaceae","Santalales"
"Razoumofskya","Santalaceae","Santalales"
"Rhoiacarpos","Santalaceae","Santalales"
"Santalum","Santalaceae","Santalales"
"Scleropyrum","Cervantesiaceae","Santalales"
"Staufferia","Cervantesiaceae","Santalales"
"Thesidium","Thesiaceae","Santalales"
"Thesium","Thesiaceae","Santalales"
"Viscum","Viscaceae","Santalales"
"Quinchamalium","Schoepfiaceae","Santalales"
"Schoepfia","Schoepfiaceae","Santalales"
"Diogoa","Strombosiaceae","Santalales"
"Scorodocarpus","Strombosiaceae","Santalales"
"Strombosia","Strombosiaceae","Santalales"
"Strombosiopsis","Strombosiaceae","Santalales"
"Tetrastylidium","Strombosiaceae","Santalales"
"Curupira","Ximeniaceae","Santalales"
"Douradoa","Ximeniaceae","Santalales"
"Malania","Ximeniaceae","Santalales"
"Ximenia","Ximeniaceae","Santalales"
"Acorus","Acoraceae","Acorales"
"Albidella","Alismataceae","Alismatales"
"Alisma","Alismataceae","Alismatales"
"Astonia","Alismataceae","Alismatales"
"Baldellia","Alismataceae","Alismatales"
"Burnatia","Alismataceae","Alismatales"
"Butomopsis","Alismataceae","Alismatales"
"Caldesia","Alismataceae","Alismatales"
"Damasonium","Alismataceae","Alismatales"
"Echinodorus","Alismataceae","Alismatales"
"Helanthium","Alismataceae","Alismatales"
"Hydrocleys","Alismataceae","Alismatales"
"Limnocharis","Alismataceae","Alismatales"
"Limnophyton","Alismataceae","Alismatales"
"Luronium","Alismataceae","Alismatales"
"Ranalisma","Alismataceae","Alismatales"
"Sagittaria","Alismataceae","Alismatales"
"Wiesneria","Alismataceae","Alismatales"
"Aponogeton","Aponogetonaceae","Alismatales"
"Aglaodorum","Araceae","Alismatales"
"Aglaonema","Araceae","Alismatales"
"Alloschemone","Araceae","Alismatales"
"Alocasia","Araceae","Alismatales"
"Ambrosina","Araceae","Alismatales"
"Amorphophallus","Araceae","Alismatales"
"Amydrium","Araceae","Alismatales"
"Anadendrum","Araceae","Alismatales"
"Anaphyllopsis","Araceae","Alismatales"
"Anaphyllum","Araceae","Alismatales"
"Anchomanes","Araceae","Alismatales"
"Anthurium","Araceae","Alismatales"
"Anubias","Araceae","Alismatales"
"Aphyllarum","Araceae","Alismatales"
"Aridarum","Araceae","Alismatales"
"Ariopsis","Araceae","Alismatales"
"Arisaema","Araceae","Alismatales"
"Arisarum","Araceae","Alismatales"
"Arophyton","Araceae","Alismatales"
"Arum","Araceae","Alismatales"
"Asterostigma","Araceae","Alismatales"
"Bakoa","Araceae","Alismatales"
"Biarum","Araceae","Alismatales"
"Bognera","Araceae","Alismatales"
"Bucephalandra","Araceae","Alismatales"
"Caladium","Araceae","Alismatales"
"Calla","Araceae","Alismatales"
"Callopsis","Araceae","Alismatales"
"Carlephyton","Araceae","Alismatales"
"Cercestis","Araceae","Alismatales"
"Chlorospatha","Araceae","Alismatales"
"Colletogyne","Araceae","Alismatales"
"Colocasia","Araceae","Alismatales"
"Croatiella","Araceae","Alismatales"
"Cryptocoryne","Araceae","Alismatales"
"Culcasia","Araceae","Alismatales"
"Cyrtosperma","Araceae","Alismatales"
"Dieffenbachia","Araceae","Alismatales"
"Dracontioides","Araceae","Alismatales"
"Dracontium","Araceae","Alismatales"
"Dracunculus","Araceae","Alismatales"
"Eminium","Araceae","Alismatales"
"Epipremnum","Araceae","Alismatales"
"Filarum","Araceae","Alismatales"
"Furtadoa","Araceae","Alismatales"
"Gearum","Araceae","Alismatales"
"Gonatopus","Araceae","Alismatales"
"Gorgonidium","Araceae","Alismatales"
"Gymnostachys","Araceae","Alismatales"
"Hapaline","Araceae","Alismatales"
"Helicodiceros","Araceae","Alismatales"
"Heteropsis","Araceae","Alismatales"
"Holochlamys","Araceae","Alismatales"
"Homalomena","Araceae","Alismatales"
"Incarum","Araceae","Alismatales"
"Jasarum","Araceae","Alismatales"
"Lagenandra","Araceae","Alismatales"
"Landoltia","Araceae","Alismatales"
"Lasia","Araceae","Alismatales"
"Lasimorpha","Araceae","Alismatales"
"Lemna","Araceae","Alismatales"
"Lysichiton","Araceae","Alismatales"
"Mangonia","Araceae","Alismatales"
"Monstera","Araceae","Alismatales"
"Montrichardia","Araceae","Alismatales"
"Nephthytis","Araceae","Alismatales"
"Orontium","Araceae","Alismatales"
"Pedatyphonium","Araceae","Alismatales"
"Pedicellarum","Araceae","Alismatales"
"Peltandra","Araceae","Alismatales"
"Philodendron","Araceae","Alismatales"
"Philonotion","Araceae","Alismatales"
"Phymatarum","Araceae","Alismatales"
"Pinellia","Araceae","Alismatales"
"Piptospatha","Araceae","Alismatales"
"Pistia","Araceae","Alismatales"
"Podolasia","Araceae","Alismatales"
"Pothoidium","Araceae","Alismatales"
"Pothos","Araceae","Alismatales"
"Protarum","Araceae","Alismatales"
"Pseudodracontium","Araceae","Alismatales"
"Pseudohydrosme","Araceae","Alismatales"
"Pycnospatha","Araceae","Alismatales"
"Raphidophora","Araceae","Alismatales"
"Remusatia","Araceae","Alismatales"
"Rhaphidophora","Araceae","Alismatales"
"Rhodospatha","Araceae","Alismatales"
"Sauromatum","Araceae","Alismatales"
"Scaphispatha","Araceae","Alismatales"
"Schismatoglottis","Araceae","Alismatales"
"Scindapsus","Araceae","Alismatales"
"Spathantheum","Araceae","Alismatales"
"Spathicarpa","Araceae","Alismatales"
"Spathiphyllum","Araceae","Alismatales"
"Spirodela","Araceae","Alismatales"
"Stenospermation","Araceae","Alismatales"
"Steudnera","Araceae","Alismatales"
"Stylochaeton","Araceae","Alismatales"
"Stylochiton","Araceae","Alismatales"
"Symplocarpus","Araceae","Alismatales"
"Synandrospadix","Araceae","Alismatales"
"Syngonium","Araceae","Alismatales"
"Taccarum","Araceae","Alismatales"
"Theriophonum","Araceae","Alismatales"
"Typhonium","Araceae","Alismatales"
"Typhonodorum","Araceae","Alismatales"
"Ulearum","Araceae","Alismatales"
"Urospatha","Araceae","Alismatales"
"Wolffia","Araceae","Alismatales"
"Wolffiella","Araceae","Alismatales"
"Xanthosoma","Araceae","Alismatales"
"Zamioculcas","Araceae","Alismatales"
"Zantedeschia","Araceae","Alismatales"
"Zomicarpa","Araceae","Alismatales"
"Zomicarpella","Araceae","Alismatales"
"Butomus","Butomaceae","Alismatales"
"Amphibolis","Cymodoceaceae","Alismatales"
"Cymodocea","Cymodoceaceae","Alismatales"
"Halodule","Cymodoceaceae","Alismatales"
"Syringodium","Cymodoceaceae","Alismatales"
"Thalassodendron","Cymodoceaceae","Alismatales"
"Apalanthe","Hydrocharitaceae","Alismatales"
"Blyxa","Hydrocharitaceae","Alismatales"
"Caulinia","Hydrocharitaceae","Alismatales"
"Egeria","Hydrocharitaceae","Alismatales"
"Elodea","Hydrocharitaceae","Alismatales"
"Enhalus","Hydrocharitaceae","Alismatales"
"Halophila","Hydrocharitaceae","Alismatales"
"Hydrilla","Hydrocharitaceae","Alismatales"
"Hydrocharis","Hydrocharitaceae","Alismatales"
"Lagarosiphon","Hydrocharitaceae","Alismatales"
"Limnobium","Hydrocharitaceae","Alismatales"
"Maidenia","Hydrocharitaceae","Alismatales"
"Najas","Hydrocharitaceae","Alismatales"
"Nechamandra","Hydrocharitaceae","Alismatales"
"Ottelia","Hydrocharitaceae","Alismatales"
"Stratiotes","Hydrocharitaceae","Alismatales"
"Thalassia","Hydrocharitaceae","Alismatales"
"Vallisneria","Hydrocharitaceae","Alismatales"
"Cycnogeton","Juncaginaceae","Alismatales"
"Lilaea","Juncaginaceae","Alismatales"
"Maundia","Juncaginaceae","Alismatales"
"Tetroncium","Juncaginaceae","Alismatales"
"Triglochin","Juncaginaceae","Alismatales"
"Posidonia","Posidoniaceae","Alismatales"
"Althenia","Potamogetonaceae","Alismatales"
"Groenlandia","Potamogetonaceae","Alismatales"
"Lepilaena","Potamogetonaceae","Alismatales"
"Potamogeton","Potamogetonaceae","Alismatales"
"Stuckenia","Potamogetonaceae","Alismatales"
"Zannichellia","Potamogetonaceae","Alismatales"
"Ruppia","Ruppiaceae","Alismatales"
"Scheuchzeria","Scheuchzeriaceae","Alismatales"
"Harperocallis","Tofieldiaceae","Alismatales"
"Pleea","Tofieldiaceae","Alismatales"
"Tofieldia","Tofieldiaceae","Alismatales"
"Triantha","Tofieldiaceae","Alismatales"
"Heterozostera","Zosteraceae","Alismatales"
"Nanozostera","Zosteraceae","Alismatales"
"Phyllospadix","Zosteraceae","Alismatales"
"Zostera","Zosteraceae","Alismatales"
"Amborella","Amborellaceae","Amborellales"
"Aciphylla","Apiaceae","Apiales"
"Acronema","Apiaceae","Apiales"
"Actinanthus","Apiaceae","Apiales"
"Actinolema","Apiaceae","Apiales"
"Actinotus","Apiaceae","Apiales"
"Adenosciadium","Apiaceae","Apiales"
"Aegokeras","Apiaceae","Apiales"
"Aegopodium","Apiaceae","Apiales"
"Aethusa","Apiaceae","Apiales"
"Aframmi","Apiaceae","Apiales"
"Afrocarum","Apiaceae","Apiales"
"Afroligusticum","Apiaceae","Apiales"
"Afrormosia","Apiaceae","Apiales"
"Afrosison","Apiaceae","Apiales"
"Agasyllis","Apiaceae","Apiales"
"Agrocharis","Apiaceae","Apiales"
"Ainsworthia","Apiaceae","Apiales"
"Alepidea","Apiaceae","Apiales"
"Aletes","Apiaceae","Apiales"
"Alococarpum","Apiaceae","Apiales"
"Ammi","Apiaceae","Apiales"
"Ammiopsis","Apiaceae","Apiales"
"Ammodaucus","Apiaceae","Apiales"
"Ammoides","Apiaceae","Apiales"
"Ammoselinum","Apiaceae","Apiales"
"Andriana","Apiaceae","Apiales"
"Anethum","Apiaceae","Apiales"
"Angelica","Apiaceae","Apiales"
"Anginon","Apiaceae","Apiales"
"Angoseseli","Apiaceae","Apiales"
"Anisopoda","Apiaceae","Apiales"
"Anisosciadium","Apiaceae","Apiales"
"Anisotome","Apiaceae","Apiales"
"Annesorhiza","Apiaceae","Apiales"
"Anthrichaerophyllum","Apiaceae","Apiales"
"Anthriscus","Apiaceae","Apiales"
"Aphanopleura","Apiaceae","Apiales"
"Apiastrum","Apiaceae","Apiales"
"Apiopetalum","Apiaceae","Apiales"
"Apium","Apiaceae","Apiales"
"Apodicarpum","Apiaceae","Apiales"
"Arafoe","Apiaceae","Apiales"
"Archangelica","Apiaceae","Apiales"
"Arctopus","Apiaceae","Apiales"
"Arcuatopterus","Apiaceae","Apiales"
"Arracacia","Apiaceae","Apiales"
"Artedia","Apiaceae","Apiales"
"Asciadium","Apiaceae","Apiales"
"Asteriscium","Apiaceae","Apiales"
"Astoma","Apiaceae","Apiales"
"Astomaea","Apiaceae","Apiales"
"Astrantia","Apiaceae","Apiales"
"Astrodaucus","Apiaceae","Apiales"
"Astydamia","Apiaceae","Apiales"
"Athamanta","Apiaceae","Apiales"
"Aulacospermum","Apiaceae","Apiales"
"Austropeucedanum","Apiaceae","Apiales"
"Autumnalia","Apiaceae","Apiales"
"Azilia","Apiaceae","Apiales"
"Azorella","Apiaceae","Apiales"
"Berula","Apiaceae","Apiales"
"Bifora","Apiaceae","Apiales"
"Bilacunaria","Apiaceae","Apiales"
"Bolax","Apiaceae","Apiales"
"Bonannia","Apiaceae","Apiales"
"Bowlesia","Apiaceae","Apiales"
"Brachyscias","Apiaceae","Apiales"
"Bunium","Apiaceae","Apiales"
"Bupleurum","Apiaceae","Apiales"
"Cachrys","Apiaceae","Apiales"
"Calyptrosciadium","Apiaceae","Apiales"
"Cannaboides","Apiaceae","Apiales"
"Capnophyllum","Apiaceae","Apiales"
"Carlesia","Apiaceae","Apiales"
"Caropsis","Apiaceae","Apiales"
"Carum","Apiaceae","Apiales"
"Caucalis","Apiaceae","Apiales"
"Cenolophium","Apiaceae","Apiales"
"Centella","Apiaceae","Apiales"
"Cephalopodum","Apiaceae","Apiales"
"Chaerophyllopsis","Apiaceae","Apiales"
"Chaerophyllum","Apiaceae","Apiales"
"Chaetosciadium","Apiaceae","Apiales"
"Chamaele","Apiaceae","Apiales"
"Chamaesciadium","Apiaceae","Apiales"
"Chamaesium","Apiaceae","Apiales"
"Chamarea","Apiaceae","Apiales"
"Changium","Apiaceae","Apiales"
"Chlaenosciadium","Apiaceae","Apiales"
"Choritaenia","Apiaceae","Apiales"
"Chuanminshen","Apiaceae","Apiales"
"Chymsydia","Apiaceae","Apiales"
"Cicuta","Apiaceae","Apiales"
"Cnidiocarpa","Apiaceae","Apiales"
"Cnidium","Apiaceae","Apiales"
"Coaxana","Apiaceae","Apiales"
"Cogswellia","Apiaceae","Apiales"
"Colladonia","Apiaceae","Apiales"
"Conioselinum","Apiaceae","Apiales"
"Conium","Apiaceae","Apiales"
"Conopodium","Apiaceae","Apiales"
"Coriandrum","Apiaceae","Apiales"
"Cortia","Apiaceae","Apiales"
"Cortiella","Apiaceae","Apiales"
"Cotopaxia","Apiaceae","Apiales"
"Coulterophytum","Apiaceae","Apiales"
"Crithmum","Apiaceae","Apiales"
"Cryptotaenia","Apiaceae","Apiales"
"Cuminum","Apiaceae","Apiales"
"Cyathoselinum","Apiaceae","Apiales"
"Cyclorhiza","Apiaceae","Apiales"
"Cyclospermum","Apiaceae","Apiales"
"Cymbocarpum","Apiaceae","Apiales"
"Cymopterus","Apiaceae","Apiales"
"Cynosciadium","Apiaceae","Apiales"
"Dactylaea","Apiaceae","Apiales"
"Dahliaphyllum","Apiaceae","Apiales"
"Dasispermum","Apiaceae","Apiales"
"Daucosma","Apiaceae","Apiales"
"Daucus","Apiaceae","Apiales"
"Demavendia","Apiaceae","Apiales"
"Dethawia","Apiaceae","Apiales"
"Deverra","Apiaceae","Apiales"
"Dichosciadium","Apiaceae","Apiales"
"Dickinsia","Apiaceae","Apiales"
"Dicyclophora","Apiaceae","Apiales"
"Dimorphosciadium","Apiaceae","Apiales"
"Diplaspis","Apiaceae","Apiales"
"Diplolophium","Apiaceae","Apiales"
"Diplotaenia","Apiaceae","Apiales"
"Diposis","Apiaceae","Apiales"
"Dipterygia","Apiaceae","Apiales"
"Discopleura","Apiaceae","Apiales"
"Distichoselinum","Apiaceae","Apiales"
"Domeykoa","Apiaceae","Apiales"
"Donnellsmithia","Apiaceae","Apiales"
"Dorema","Apiaceae","Apiales"
"Dracosciadium","Apiaceae","Apiales"
"Drusa","Apiaceae","Apiales"
"Ducrosia","Apiaceae","Apiales"
"Dumaniana","Apiaceae","Apiales"
"Dystaenia","Apiaceae","Apiales"
"Echinophora","Apiaceae","Apiales"
"Ekimia","Apiaceae","Apiales"
"Elaeoselinum","Apiaceae","Apiales"
"Elaeosticta","Apiaceae","Apiales"
"Eleutherospermum","Apiaceae","Apiales"
"Enantiophylla","Apiaceae","Apiales"
"Endressia","Apiaceae","Apiales"
"Eremocharis","Apiaceae","Apiales"
"Eremodaucus","Apiaceae","Apiales"
"Ergocarpon","Apiaceae","Apiales"
"Erigenia","Apiaceae","Apiales"
"Eriosynaphe","Apiaceae","Apiales"
"Eryngium","Apiaceae","Apiales"
"Erythroselinum","Apiaceae","Apiales"
"Eurytaenia","Apiaceae","Apiales"
"Exoacantha","Apiaceae","Apiales"
"Ezosciadium","Apiaceae","Apiales"
"Falcaria","Apiaceae","Apiales"
"Fergania","Apiaceae","Apiales"
"Ferula","Apiaceae","Apiales"
"Ferulago","Apiaceae","Apiales"
"Ferulopsis","Apiaceae","Apiales"
"Foeniculum","Apiaceae","Apiales"
"Frommia","Apiaceae","Apiales"
"Froriepia","Apiaceae","Apiales"
"Fuernrohria","Apiaceae","Apiales"
"Galagania","Apiaceae","Apiales"
"Gasparrinia","Apiaceae","Apiales"
"Geocaryum","Apiaceae","Apiales"
"Gingidia","Apiaceae","Apiales"
"Glaucosciadium","Apiaceae","Apiales"
"Glehnia","Apiaceae","Apiales"
"Glia","Apiaceae","Apiales"
"Glochidotheca","Apiaceae","Apiales"
"Gongylosciadium","Apiaceae","Apiales"
"Gongylotaxis","Apiaceae","Apiales"
"Grammosciadium","Apiaceae","Apiales"
"Guillonea","Apiaceae","Apiales"
"Gymnophyton","Apiaceae","Apiales"
"Hacquetia","Apiaceae","Apiales"
"Halosciastrum","Apiaceae","Apiales"
"Hansenia","Apiaceae","Apiales"
"Haplosciadium","Apiaceae","Apiales"
"Haplosphaera","Apiaceae","Apiales"
"Harbouria","Apiaceae","Apiales"
"Harrysmithia","Apiaceae","Apiales"
"Heptaptera","Apiaceae","Apiales"
"Heracleum","Apiaceae","Apiales"
"Hermas","Apiaceae","Apiales"
"Heteromorpha","Apiaceae","Apiales"
"Heteroptilis","Apiaceae","Apiales"
"Hippomarathrum","Apiaceae","Apiales"
"Hohenackeria","Apiaceae","Apiales"
"Homalocarpus","Apiaceae","Apiales"
"Huanaca","Apiaceae","Apiales"
"Hyalolaena","Apiaceae","Apiales"
"Hymenidium","Apiaceae","Apiales"
"Indoschulzia","Apiaceae","Apiales"
"Itasina","Apiaceae","Apiales"
"Johrenia","Apiaceae","Apiales"
"Johreniopsis","Apiaceae","Apiales"
"Kamelinia","Apiaceae","Apiales"
"Klotzschia","Apiaceae","Apiales"
"Korshinskia","Apiaceae","Apiales"
"Korshinskya","Apiaceae","Apiales"
"Krasnovia","Apiaceae","Apiales"
"Kundmannia","Apiaceae","Apiales"
"Ladyginia","Apiaceae","Apiales"
"Lagoecia","Apiaceae","Apiales"
"Laretia","Apiaceae","Apiales"
"Laser","Apiaceae","Apiales"
"Laserpitium","Apiaceae","Apiales"
"Lecokia","Apiaceae","Apiales"
"Lefebvrea","Apiaceae","Apiales"
"Leiotulus","Apiaceae","Apiales"
"Leptotaenia","Apiaceae","Apiales"
"Levisticum","Apiaceae","Apiales"
"Libanotis","Apiaceae","Apiales"
"Lichtensteinia","Apiaceae","Apiales"
"Lignocarpa","Apiaceae","Apiales"
"Ligusticopsis","Apiaceae","Apiales"
"Ligusticum","Apiaceae","Apiales"
"Lilaeopsis","Apiaceae","Apiales"
"Limnosciadium","Apiaceae","Apiales"
"Lipskya","Apiaceae","Apiales"
"Lisaea","Apiaceae","Apiales"
"Lithosciadium","Apiaceae","Apiales"
"Lomatium","Apiaceae","Apiales"
"Lomatocarpa","Apiaceae","Apiales"
"Mackinlaya","Apiaceae","Apiales"
"Magydaris","Apiaceae","Apiales"
"Malabaila","Apiaceae","Apiales"
"Mandenovia","Apiaceae","Apiales"
"Marlothiella","Apiaceae","Apiales"
"Mediasia","Apiaceae","Apiales"
"Meeboldia","Apiaceae","Apiales"
"Melanosciadium","Apiaceae","Apiales"
"Melanoselinum","Apiaceae","Apiales"
"Meum","Apiaceae","Apiales"
"Micropleura","Apiaceae","Apiales"
"Molopospermum","Apiaceae","Apiales"
"Mulinum","Apiaceae","Apiales"
"Museniopsis","Apiaceae","Apiales"
"Musineon","Apiaceae","Apiales"
"Mutellina","Apiaceae","Apiales"
"Myrrhidendron","Apiaceae","Apiales"
"Myrrhis","Apiaceae","Apiales"
"Myrrhoides","Apiaceae","Apiales"
"Nanobubon","Apiaceae","Apiales"
"Neogoezia","Apiaceae","Apiales"
"Neonelsonia","Apiaceae","Apiales"
"Neoparrya","Apiaceae","Apiales"
"Neopaulia","Apiaceae","Apiales"
"Niphogeton","Apiaceae","Apiales"
"Nothosmyrnium","Apiaceae","Apiales"
"Notiosciadium","Apiaceae","Apiales"
"Notobubon","Apiaceae","Apiales"
"Notopterygium","Apiaceae","Apiales"
"Oedibasis","Apiaceae","Apiales"
"Oenanthe","Apiaceae","Apiales"
"Oligocladus","Apiaceae","Apiales"
"Opopanax","Apiaceae","Apiales"
"Oreocomopsis","Apiaceae","Apiales"
"Oreomyrrhis","Apiaceae","Apiales"
"Oreonana","Apiaceae","Apiales"
"Oreoschimperella","Apiaceae","Apiales"
"Oreoxis","Apiaceae","Apiales"
"Orlaya","Apiaceae","Apiales"
"Ormosolenia","Apiaceae","Apiales"
"Orogenia","Apiaceae","Apiales"
"Oschatzia","Apiaceae","Apiales"
"Osmorhiza","Apiaceae","Apiales"
"Ostericum","Apiaceae","Apiales"
"Ottoa","Apiaceae","Apiales"
"Oxypolis","Apiaceae","Apiales"
"Pachypleurum","Apiaceae","Apiales"
"Palimbia","Apiaceae","Apiales"
"Paraselinum","Apiaceae","Apiales"
"Parasilaus","Apiaceae","Apiales"
"Pastinaca","Apiaceae","Apiales"
"Paulia","Apiaceae","Apiales"
"Perideridia","Apiaceae","Apiales"
"Perissocoeleum","Apiaceae","Apiales"
"Petagnia","Apiaceae","Apiales"
"Petroselinum","Apiaceae","Apiales"
"Peucedanum","Apiaceae","Apiales"
"Phellopterus","Apiaceae","Apiales"
